Battery,Cycle,RMSE_Shepherd_mV,RMSE_Poly_mV,RMSE_MLP_mV,MAE_Shepherd_mV,MAE_Poly_mV,MAE_MLP_mV
RW5,41,35.68685697764753,20.14931239820154,19.026017459763974,24.807572024370653,16.600145992826533,15.20723495413469
RW5,42,20.143112743045215,27.745041893080536,25.791451359332935,15.021528651841235,21.541683768123168,19.679013449465977
RW5,43,23.577069730631102,18.754523389695215,20.431294934265296,20.47966033907346,15.298513802080802,16.108108597861452
RW5,44,40.29876935393966,20.21000124976244,15.46890704890852,30.77897779130718,15.150383091668274,12.201756165140639
RW5,45,21.3916972853796,26.416760575113617,24.636783800362792,16.23988537322239,23.39698894870825,20.40365600088396
RW5,46,18.854083592646596,28.662352616458914,26.140877286805196,13.106375446488398,23.353653727621747,19.493328222940182
RW5,47,24.347813899385592,34.48436527043743,35.88463390880038,18.443649937133713,27.586185913015594,28.227497455067876
RW5,48,26.317446360558886,36.759043258775776,37.31350315654948,21.671869844325414,32.709411161928486,32.212952528546126
RW5,49,24.20007670325115,37.38245946150647,34.80090868886415,17.337299168265353,29.730068423909454,27.862551279459932
RW6,10,89.67432331930301,22.5845903127195,20.3587123871718,82.03691714552906,18.86871278247321,16.784277381340285
RW6,11,83.24903592853342,40.41550526122794,41.82924973580368,61.901057224910396,34.198922651443915,33.84315178787218
RW6,12,57.325663636235895,22.86313760104157,23.04751977274357,46.01444041270556,19.088790810000585,19.63373724644518
RW6,13,53.06057136032824,23.910571374635584,25.34890530077525,44.1092742638931,20.1401283645237,22.499452758217085
RW6,14,89.63693234249496,45.98264637080636,43.28518721827645,67.20369554966675,40.869916793594264,38.63587414500166
RW6,15,81.79636060472012,33.28176457312126,29.47013709377162,70.49916276999545,26.855727045420196,23.530191466361487
RW6,16,70.90695928813022,26.705365856701327,25.497758259691704,55.74143146299715,21.311138249018395,20.873044215266034
RW6,17,68.93708794683118,28.603489790090908,29.31918401809244,53.031927324285974,24.26453519785886,25.612727819466684
RW6,18,72.10538035356062,27.033912464010328,28.840973256284034,58.11465501004231,20.093844116751125,22.30009100600254
RW6,19,84.414694939062,46.11660782476539,42.62906333289979,67.0204626769714,41.34087724588104,38.3248073941807
RW6,20,75.7427668308595,31.52371027051231,30.003592121111303,57.00141994954363,24.51675107899271,23.993309992691266
RW6,21,84.2052948549091,26.914347322050528,28.257206417736796,75.54568622749645,21.370669913254467,22.76992314136546
RW6,22,77.07392183993255,30.620465754394154,28.45153134035229,62.079955041233745,26.88897601271713,25.456974799101836
